model_name,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,overfitting
投票集成,3.285068925700056,4.193618186621301,2.5610819461345113,3.2707701392202386,0.6230286822680544,0.3875249183837991,True
梯度提升(快速版),4.138786034752797,4.200135022962953,3.22681570514726,3.2758278117969803,0.4016362360254869,0.38561988030540084,False
堆叠集成(快速版),4.189321534929328,4.21727259070616,3.2663650020365838,3.287886351310626,0.3869347163324943,0.38059601261578,False
Ridge回归,4.222958580189928,4.23904995474274,3.2947555222546145,3.30777808902334,0.3770503029381864,0.3741824771469968,False
线性回归,4.222949322375564,4.239077526353565,3.2947607145766336,3.3078341059398704,0.3770530342679984,0.37417433624114005,False
Lasso回归,4.223502517512205,4.239154647962223,3.295178319856597,3.3075463608679474,0.37688981478460093,0.37415156472037003,False
神经网络(MLP-PyTorch),4.185838032952728,4.242574370330094,3.2551342729911026,3.2994242488853476,0.38795384375319575,0.3731414146641354,False
随机森林,1.577395367748877,4.249375556697824,1.2274755781101305,3.3174545162055438,0.9130838546226564,0.3711299947270783,True
SVR,4.268192122739245,4.29727774947396,3.311597831122851,3.343536977623774,0.3636335789340509,0.35687187912432106,False
决策树,4.38363781473254,4.441547472262033,3.4292942602151797,3.4707242796143505,0.3287432518393738,0.31296435981942616,False
KNN,4.422668761466034,4.587520811103254,3.472483766661004,3.6060193389388955,0.31673659158993395,0.2670628332461322,False
AdaBoost(快速版),4.663205857854352,4.690035058698941,3.7365324736360495,3.7583158429074786,0.24039378198637784,0.2339399253411102,False
